pfas_analyte,chain_length,chain_cat,func_cat,pfas_age,pre_pfas
102FTS,10,long,sulfonate,Legacy,yes
11Cl-PF3OUdS,8,long,sulfonate,next_gen,yes
33FTCA,3,short,carboxyl,next_gen,no
42FTS,4,short,sulfonate,next_gen,no
53FTCA,5,short,carboxyl,next_gen,no
62FTS,6,short,sulfonate,next_gen,yes
73FTCA,10,long,carboxyl,next_gen,yes
82FTS,8,long,sulfonate,Legacy,yes
9Cl-PF3ONS,8,long,sulfonate,next_gen,no
ADONA,7,short,carboxyl,next_gen,no
DIPAP6_2,6,short,phosphoric,Legacy,no
DIPAP8_2,8,long,phosphoric,Legacy,no
HFPO-DA,5,short,carboxyl,next_gen,no
N_ETFOSA,8,long,amine,Legacy,yes
N_ETFOSAA,8,long,amine,Legacy,no
N_ETFOSE,8,long,amine,Legacy,yes
NFDHA,4,short,carboxyl,next_gen,no
N_MEFOSA,8,long,amine,Legacy,yes
N_MEFOSAA,8,long,amine,Legacy,yes
N_MEFOSE,8,long,amine,Legacy,yes
PFBA,4,short,carboxyl,next_gen,no
PFBS,4,short,sulfonate,next_gen,no
PFDA,10,long,carboxyl,Legacy,no
PFDOA,10,long,carboxyl,Legacy,no
PFDOS,12,long,sulfonate,legacy,no
PFDS,10,long,sulfonate,Legacy,no
PFEESA,4,short,carboxyl,next_gen,no
PFHPA,6,short,carboxyl,Legacy,no
PFHPS,7,short,sulfonate,Legacy,no
PFHXA,6,short,carboxyl,next_gen,no
PFHXDA,15,long,carboxyl,Legacy,no
PFHXS,7,short,sulfonate,Legacy,no
PFMBA,4,short,carboxyl,next_gen,no
PFMPA,3,short,carboxyl,next_gen,no
PFNA,9,long,carboxyl,Legacy,no
PFNS,9,long,sulfonate,Legacy,no
PFOA,8,long,carboxyl,Legacy,no
PFODA,17,long,carboxyl,Legacy,no
PFOS,8,long,sulfonate,Legacy,no
PFOSA,8,long,amine,Legacy,yes
PFPEA,5,short,carboxyl,next_gen,no
PFPES,5,short,sulfonate,next_gen,no
PFTEDA,13,long,carboxyl,Legacy,no
PFTRDA,12,long,carboxyl,Legacy,no
PFUNA,11,long,carboxyl,Legacy,no
