"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"ADONA","IgY_raw","linear",-161.443277318566,0,0,NA,45,NA,0,"Flat",NA
"DIPAP6_2","IgY_raw","linear",-38.0919040376835,0,0,NA,66,NA,0,"Flat",NA
"DIPAP8_2","IgY_raw","linear",-38.0919040376835,0,0,NA,66,NA,0,"Flat",NA
"N_ETFOSA","IgY_raw","linear",-74.9629598569751,0,0,NA,111,NA,0,"Flat",NA
"N_ETFOSAA","IgY_raw","exp",-86.8545115147292,NA,NA,6.84801548588444e-06,111,-0.0201079854190975,-0.311774313923106,"Decreasing",3.081606968648e-05
"N_ETFOSE","IgY_raw","quadratic",-75.4190167853323,0.0393495357252357,0.02155971231274,0.114427770695569,111,-1.47591601991842,-0.132832441792658,"Decreasing",0.171641656043354
"NFDHA","IgY_raw","linear",-161.443277318566,0,0,NA,45,NA,0,"Flat",NA
"N_MEFOSA","IgY_raw","linear",-74.9629598569751,0,0,NA,111,NA,0,"Flat",NA
"N_MEFOSAA","IgY_raw","power",-78.557236262448,NA,NA,0.0274805607668654,111,-0.108809541392439,-0.0890062048590154,"Decreasing",0.0529982243360976
"N_MEFOSE","IgY_raw","linear",-74.9629598569751,0,0,NA,111,NA,0,"Flat",NA
"PFBA","IgY_raw","power",-93.1111239245093,NA,NA,1.31326535929227e-08,111,-0.206001488702403,-0.17571926986315,"Decreasing",1.77290823504456e-07
"PFBS","IgY_raw","exp",-73.1421838287034,NA,NA,1,111,0.719794788571985,0.0669409153371946,"Increasing",1
"PFDA","IgY_raw","log",-77.4631243813889,0.039731189465397,0.0309213838641622,0.0359615993271373,111,0.00268003286591681,0.158730306549655,"Increasing",0.0647308787888471
"PFDOA","IgY_raw","exp",-75.53844910535,NA,NA,0.56242963369901,111,-0.00632663261884489,-0.117061683346487,"Decreasing",0.64619574935631
