"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"ADONA","clysis_raw","linear",-21.3445258632547,0,0,NA,45,NA,0,"Flat",NA
"DIPAP6_2","clysis_raw","linear",-171.841190059535,0,0,NA,66,NA,0,"Flat",NA
"DIPAP8_2","clysis_raw","linear",-171.841190059535,0,0,NA,66,NA,0,"Flat",NA
"N_ETFOSA","clysis_raw","linear",119.893208135654,0,0,NA,111,NA,0,"Flat",NA
"N_ETFOSAA","clysis_raw","power",69.4001464158989,NA,NA,1.17799085979682e-22,111,0.0441745587987758,0.684926534175019,"Increasing",1.02092541182391e-21
"N_ETFOSE","clysis_raw","power",119.047063536759,NA,NA,0.42906596860848,111,-3.90645752158162,-0.351581176942345,"Decreasing",0.46482146599252
"NFDHA","clysis_raw","linear",-21.3445258632547,0,0,NA,45,NA,0,"Flat",NA
"N_MEFOSA","clysis_raw","linear",119.893208135654,0,0,NA,111,NA,0,"Flat",NA
"N_MEFOSAA","clysis_raw","log",115.414744163305,0.0566939882970328,0.0480398047034276,0.0118527599961423,111,0.286723764673171,0.234540039502654,"Increasing",0.0166579329675513
"N_MEFOSE","clysis_raw","linear",119.893208135654,0,0,NA,111,NA,0,"Flat",NA
"PFBA","clysis_raw","log",101.05130340421,0.171190468756446,0.163586711589074,6.36833677399606e-06,111,0.51287576626475,0.437483028623832,"Increasing",1.43979787933824e-05
"PFBS","clysis_raw","quadratic",121.302302901391,0.023071183246193,0.00497990886186306,0.28352913723959,111,-3.73125668018155,-0.347006871256884,"Decreasing",0.313691811414015
"PFDA","clysis_raw","exp",64.6480732869929,NA,NA,1.01705112193819e-24,111,-0.0176526377027913,-1.04551277322322,"Decreasing",1.05773316681572e-23
"PFDOA","clysis_raw","power",114.790164399992,NA,NA,0.00607821789306348,111,-0.0309044627605911,-0.571825274459216,"Decreasing",0.00877964806775837
"PFDS","clysis_raw","quadratic",111.613699550313,0.0943333380573239,0.0774049892359655,0.00498664448137199,110,0.190756717438667,0.78153027134622,"Increasing",0.00740872894375267
"PFEESA","clysis_raw","linear",-21.3445258632547,0,0,NA,45,NA,0,"Flat",NA
"PFHPA","clysis_raw","power",116.599796734577,NA,NA,0.037126978101738,111,-0.186036773696523,-0.290217366966576,"Decreasing",0.049502637468984
"PFHPS","clysis_raw","power",109.91363321704,NA,NA,4.63367618899343e-05,111,-0.0682979020432418,-0.682432637216072,"Decreasing",8.92411710472808e-05
"PFHXA","clysis_raw","log",13.9732008753625,0.621769816507747,0.618299814824331,9.34929735303485e-25,111,16.8077388020597,0.722732768488567,"Increasing",1.05773316681572e-23
"PFHXDA","clysis_raw","linear",-171.841190059535,0,0,NA,66,NA,0,"Flat",NA
"PFHXS","clysis_raw","exp",55.3985454337105,NA,NA,9.77966270179929e-29,111,-0.16313437777443,-1.02220001113458,"Decreasing",2.54271230246781e-27
"PFMBA","clysis_raw","linear",119.893208135654,0,0,NA,111,NA,0,"Flat",NA
"PFMPA","clysis_raw","linear",119.893208135654,0,0,NA,111,NA,0,"Flat",NA
"PFNA","clysis_raw","exp",63.1012034577245,NA,NA,2.16543799233378e-25,111,-0.00603059711909105,-0.89415060425051,"Decreasing",3.75342585337855e-24
"PFNS","clysis_raw","power",75.5020414566968,NA,NA,5.26212628059704e-20,111,-0.81912680119784,-0.620078988506765,"Decreasing",3.42038208238808e-19
"PFOA","clysis_raw","power",76.854624434861,NA,NA,2.03507579946124e-19,111,-0.0229976614021107,-0.673831479081843,"Decreasing",1.17582157302205e-18
"PFODA","clysis_raw","linear",-171.841190059535,0,0,NA,66,NA,0,"Flat",NA
"PFOS","clysis_raw","quadratic",103.733675002522,0.166079675711879,0.150636706743581,5.50460503950211e-05,111,0.00152453291095135,0.747984631165881,"Increasing",0.000102228379305039
"PFPEA","clysis_raw","linear",119.501172588557,0,0,NA,110,NA,0,"Flat",NA
"PFPES","clysis_raw","power",121.379811886257,NA,NA,1,111,-5.69323549346013,-0.176490300297264,"Decreasing",1
"PFTEDA","clysis_raw","quadratic",100.019915600907,0.193518812282964,0.178583975473389,9.03834743536647e-06,111,0.120663522607727,0.700210421692639,"Increasing",1.95830861099607e-05
"PFTRDA","clysis_raw","log",82.6085046834755,0.298066246271185,0.291626487062663,5.74692294584607e-10,111,-0.0291803765996829,-0.979030815295961,"Decreasing",1.99226662122664e-09
"chain_long","clysis_raw","log",124.200852576339,0.0152834796134082,0.00672072726222039,0.184189093312898,117,0.000370304816263687,0.287770538205204,"Increasing",0.210660295053921
"chain_short","clysis_raw","quadratic",112.111420108661,0.127003712315021,0.11168798796967,0.000434216802150297,117,-0.00681846684424228,-0.0795851450059959,"Decreasing",0.000752642457060514
"func_amine","clysis_raw","power",75.2666695595066,NA,NA,6.82584649004199e-22,117,0.0409891602904047,0.652998312586437,"Increasing",5.07062882117405e-21
"func_carboxyl","clysis_raw","exp",94.4140051173358,NA,NA,1.41168790206519e-13,117,-0.00155305483461175,-0.702426511982043,"Decreasing",7.340777090739e-13
"func_sulfonate","clysis_raw","exp",112.531251286628,NA,NA,1.04221838869232e-05,117,0.00127036871274762,0.647237614720361,"Increasing",2.16781424848002e-05
"func_phosphoric","clysis_raw","linear",124.00282524415,0,0,NA,117,NA,0,"Flat",NA
"age_Legacy","clysis_raw","log",124.218510759811,0.0151348504064589,0.00657080562738466,0.186353337932315,117,0.000365822578312841,0.286334819384135,"Increasing",0.210660295053921
"age_next_gen","clysis_raw","log",100.217836959867,0.197789723434589,0.190813981899237,5.07188154545044e-07,117,0.539078690991281,0.459834123415563,"Increasing",1.31868920181711e-06
"ADONA","log_clysis","linear",14.9001399698498,0,0,NA,45,NA,0,"Flat",NA
"DIPAP6_2","log_clysis","linear",202.181981284403,0,0,NA,61,NA,0,"Flat",NA
"DIPAP8_2","log_clysis","linear",202.181981284403,0,0,NA,61,NA,0,"Flat",NA
"N_ETFOSA","log_clysis","linear",414.051477483936,0,0,NA,106,NA,0,"Flat",NA
"N_ETFOSAA","log_clysis","log",371.108152139063,0.345571952885176,0.339279375509072,3.4712303964225e-11,106,0.148912073755007,2.30888170357138,"Increasing",1.28931414724264e-10
"N_ETFOSE","log_clysis","power",415.439692279063,NA,NA,1,106,-8.75684455794768,-0.788116010215292,"Decreasing",1
"NFDHA","log_clysis","linear",14.9001399698498,0,0,NA,45,NA,0,"Flat",NA
"N_MEFOSA","log_clysis","linear",414.051477483936,0,0,NA,106,NA,0,"Flat",NA
"N_MEFOSAA","log_clysis","power",406.803721352266,NA,NA,0.000711769715845336,106,1.41871793032384,1.1605112670049,"Increasing",0.00115662578824867
"N_MEFOSE","log_clysis","linear",414.051477483936,0,0,NA,106,NA,0,"Flat",NA
