"effect","group","term","estimate","std.error","statistic","df","p.value","pfas_var","immune_var","n_obs","FDR_p"
"fixed",NA,"PFAS_scaled",-0.0296661668766836,0.0399610267035259,-0.742377494371686,105.553362181109,0.459507513604828,"PFBA","IgY",111,0.604964392012244
"fixed",NA,"PFAS_scaled",-0.114281363137245,0.0821830949327799,-1.39057020462321,81.0094219591885,0.168164201334408,"PFBS","IgY",111,0.432422232002763
"fixed",NA,"PFAS_scaled",0.0524022824665848,0.0530633320180062,0.987542253260745,77.5655704462084,0.326447475455847,"PFDA","IgY",111,0.592297242506034
"fixed",NA,"PFAS_scaled",-0.0736073849149187,0.0456030421733727,-1.61408935472067,88.144362946646,0.110082464455956,"PFDOA","IgY",111,0.343607547575642
"fixed",NA,"PFAS_scaled",-0.0153159122231415,0.034852005061666,-0.439455698346249,76.752667081948,0.661566210935506,"PFDS","IgY",110,0.744261987302444
"fixed",NA,"PFAS_scaled",0.0351298136593306,0.0451890791799912,0.777396094295397,99.5941138625019,0.438767811432083,"PFHPA","IgY",111,0.604964392012244
"fixed",NA,"PFAS_scaled",0.00614286192022003,0.0486135913490454,0.126360998020375,77.447909242125,0.899773646649687,"PFHPS","IgY",111,0.92206502877008
"fixed",NA,"PFAS_scaled",-0.158164905808446,0.0396908896031081,-3.98491712808727,107.398880889901,0.000123278475051303,"PFHXA","IgY",111,0.00221901255092345
"fixed",NA,"PFAS_scaled",0.104413201722555,0.0454511588193341,2.29726159761057,87.9502677975328,0.0239779492612238,"PFHXS","IgY",111,0.143867695567343
"fixed",NA,"PFAS_scaled",0.0424051900931484,0.0535925973964873,0.791250884509805,71.7335432010981,0.431406104845776,"PFNA","IgY",111,0.604964392012244
"fixed",NA,"PFAS_scaled",-0.0514950134599787,0.0412216318036224,-1.24922307067556,106.713911437042,0.21431669268917,"PFNS","IgY",111,0.482212558550633
"fixed",NA,"PFAS_scaled",0.0305878039375789,0.042240701992286,0.724131051211337,109.62268804545,0.470527860453967,"PFOA","IgY",111,0.604964392012244
"fixed",NA,"PFAS_scaled",-0.108771184728318,0.0460477877738969,-2.36213703169422,82.4553698461257,0.0205265295163652,"PFOS","IgY",111,0.143867695567343
"fixed",NA,"PFAS_scaled",-0.0194034111689247,0.0306080253371835,-0.633932145415238,64.8643779419904,0.528354380073166,"PFPES","IgY",111,0.634025256087799
"fixed",NA,"PFAS_scaled",-0.0798638718847052,0.0449297262436381,-1.77752856653592,79.7293603527257,0.0792946435050234,"PFTEDA","IgY",111,0.343607547575642
"fixed",NA,"PFAS_scaled",-0.00505084079930958,0.0514765656619208,-0.0981192263773317,86.3488724545425,0.92206502877008,"PFTRDA","IgY",111,0.92206502877008
"fixed",NA,"PFAS_scaled",0.0530578169912034,0.0540167584136351,0.982247334890246,77.0068803411607,0.329054023614463,"PFUNDA","IgY",111,0.592297242506034
"fixed",NA,"PFAS_scaled",-0.0728778927397863,0.0457096102351792,-1.59436696932711,85.6903564256199,0.114535849191881,"TOTAL_PFAS","IgY",111,0.343607547575642
