"effect","term","estimate","std.error","statistic","df","p.value","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","(Intercept)",-2.0367688683697,0.291543074918903,-6.98616788938053,105.935483190273,2.59350128113449e-10,"PFBA","log_igy",110,"covariate",1.5561007686807e-08
"fixed","PFAS_scaled",-0.121506584844349,0.298672574581787,-0.406822035851425,105.700252483035,0.684961302479718,"PFBA","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",0.249303317790926,0.413161955911788,0.603403372996313,62.6287054121657,0.548419572361573,"PFBA","log_igy",110,"covariate",0.658103486833887
"fixed","DNA_sexF",-0.320014420746608,0.13393858238167,-2.38926241457968,77.2029974662389,0.0193230454871107,"PFBA","log_igy",110,"covariate",0.0496878312525703
"fixed","DNA_sexM",-0.294336054179477,0.145055832950325,-2.02912249850906,90.7791037707483,0.0453746086358269,"PFBA","log_igy",110,"covariate",0.100245117257899
"fixed","age",0.0225404774529751,0.00534004329333659,4.22102897201255,93.3395849475804,5.63883210507218e-05,"PFBA","log_igy",110,"covariate",0.000483328466149044
"fixed","PFAS_scaled:DNA_sexF",0.0796459909799669,0.178924011739181,0.445138638496813,94.6176773517013,0.657236289430178,"PFBA","log_igy",110,"interaction",0.890545981047171
"fixed","PFAS_scaled:DNA_sexM",0.140388124686349,0.186660204682358,0.75210527560092,92.4954154621922,0.453897423580266,"PFBA","log_igy",110,"interaction",0.839519250743447
"fixed","PFAS_scaled:age",-1.43078749438135e-06,0.00472160174165089,-0.000303030109837489,93.5110558832879,0.999758862484343,"PFBA","log_igy",110,"interaction",0.999758862484343
"fixed","(Intercept)",-2.021034470225,0.284452265609917,-7.10500394817222,104.315502573891,1.5363028324479e-10,"PFBS","log_igy",110,"covariate",1.5561007686807e-08
"fixed","PFAS_scaled",-0.114795538247219,0.0825528534015258,-1.39057020462842,81.0094219593085,0.168164201332829,"PFBS","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",1.15276890340471,0.829715558356832,1.38935432967854,97.3578270059837,0.16789446084865,"PFBS","log_igy",110,"covariate",0.287819075740544
"fixed","DNA_sexF",-0.313299709416773,0.133856875137839,-2.34055747300357,76.6019522410239,0.0218591403161722,"PFBS","log_igy",110,"covariate",0.0546478507904304
"fixed","DNA_sexM",-0.289681350649738,0.143940496982577,-2.01250764532793,91.799724315825,0.0470966061836718,"PFBS","log_igy",110,"covariate",0.100921298965011
"fixed","age",0.0218728796222128,0.00512837165877794,4.26507302464599,90.3807455165342,4.9066082224573e-05,"PFBS","log_igy",110,"covariate",0.000441594740021157
"fixed","(Intercept)",-1.64764436385103,0.311220728558316,-5.29413439613581,107.892536512095,6.34971145332275e-07,"PFDA","log_igy",110,"covariate",7.6196537439873e-06
"fixed","PFAS_scaled",0.221852615707121,0.330580934776293,0.671099244901253,107.830903015443,0.503592339456173,"PFDA","log_igy",110,"main_effect",0.927108013918596
"fixed","DNA_sex003-M",0.662399042208935,0.529541668960397,1.25089125376925,60.1460280612797,0.215818304081375,"PFDA","log_igy",110,"covariate",0.356397199400435
"fixed","DNA_sexF",-0.43961107873882,0.146810632876759,-2.99440898880842,74.5325455238912,0.00373006098980976,"PFDA","log_igy",110,"covariate",0.0139877287117866
"fixed","DNA_sexM",-0.434800306197592,0.155818019979781,-2.79043660196691,86.1515476670439,0.00648013627616819,"PFDA","log_igy",110,"covariate",0.0218697132952536
"fixed","age",0.0169828989057076,0.00554473837591859,3.06288552395298,98.448459356795,0.00282721340434575,"PFDA","log_igy",110,"covariate",0.0115658730177781
"fixed","PFAS_scaled:DNA_sexF",0.254345398234149,0.139620164368429,1.82169530729804,60.0470761666636,0.0734829800511214,"PFDA","log_igy",110,"interaction",0.526073428679794
"fixed","PFAS_scaled:DNA_sexM",0.147842617705415,0.154774889562207,0.955210616680776,69.8645565883497,0.342764748563766,"PFDA","log_igy",110,"interaction",0.790932492670402
"fixed","PFAS_scaled:age",-0.00765995000056438,0.00582921546202448,-1.31406190943988,107.99342889752,0.19160977993793,"PFDA","log_igy",110,"interaction",0.636460897638015
"fixed","(Intercept)",-1.94588295513362,0.282784853635758,-6.88114278440111,105.578048687074,4.37156513275552e-10,"PFDOA","log_igy",110,"covariate",1.83731950939016e-08
"fixed","PFAS_scaled",-0.0397580011706374,0.394749013779405,-0.100717164027812,98.9157106573789,0.919978848999714,"PFDOA","log_igy",110,"main_effect",0.946263958971134
"fixed","DNA_sex003-M",0.682308400970932,0.998961419254123,0.683017770076025,64.3289814992684,0.497048177637377,"PFDOA","log_igy",110,"covariate",0.643382955507016
"fixed","DNA_sexF",-0.293046965906582,0.13216257160002,-2.2173219116337,72.4865842459402,0.029736908626076,"PFDOA","log_igy",110,"covariate",0.0723245450587377
"fixed","DNA_sexM",-0.288392082756742,0.14261806346843,-2.02212872439248,87.9688903168917,0.0462010003432555,"PFDOA","log_igy",110,"covariate",0.100245117257899
"fixed","age",0.0200308014112074,0.0051262133286751,3.90752396104133,93.3173787502909,0.000176463446707372,"PFDOA","log_igy",110,"covariate",0.00127053681629308
"fixed","PFAS_scaled:DNA_sexF",0.190344063617447,0.306964493913784,0.620084952466548,65.3530683439943,0.5373580907358,"PFDOA","log_igy",110,"interaction",0.881079687275394
