"PFAS","WBC_var","rho","p.value","n","FDR_p"
"PF3OUDS11CL","Lperc",NA,NA,67,NA
"PF3OUDS11CL","Hperc",NA,NA,67,NA
"PF3OUDS11CL","Eperc",NA,NA,67,NA
"PF3OUDS11CL","Mperc",NA,NA,67,NA
"PF3OUDS11CL","Bperc",NA,NA,67,NA
"PF3OUDS11CL","Total_count",NA,NA,67,NA
"PFBA","Lperc",-0.241029506902944,0.0494308542335677,67,0.593170250802812
"PFBA","Hperc",-0.112494792200228,0.364744053748908,67,0.79055902607143
"PFBA","Eperc",0.094228714900709,0.448169552536064,67,0.82037816396432
"PFBA","Mperc",0.130217378223508,0.293581830266512,67,0.72372601818783
"PFBA","Bperc",-0.265906240739285,0.0296379928914949,67,0.533483872046908
"PFBA","Total_count",-0.0922803762197438,0.457651537226033,67,0.823772767006859
"PFBS","Lperc",0.103023077164478,0.40675292591836,67,0.804169260484995
"PFBS","Hperc",-0.0621337946326449,0.617427879808307,67,0.939186070694327
"PFBS","Eperc",-0.140518728989413,0.256715658745138,67,0.72372601818783
"PFBS","Mperc",-0.168271046814805,0.173461345049411,67,0.646234933517775
"PFBS","Bperc",0.17772892355456,0.150184518522363,67,0.646234933517775
"PFBS","Total_count",-0.0523909763428033,0.673712948625733,67,0.942680076772857
"PFDA","Lperc",-0.00275394134881745,0.982353989006197,67,0.991534867408123
"PFDA","Hperc",0.221275492054733,0.0719378479327968,67,0.646234933517775
"PFDA","Eperc",-3.99109986343253e-05,0.999744248005273,67,0.999744248005273
"PFDA","Mperc",0.163743189409574,0.185493360546769,67,0.646234933517775
"PFDA","Bperc",0.154314681739951,0.212458514308567,67,0.717047485791412
"PFDA","Total_count",-0.139152473872757,0.261415732436645,67,0.72372601818783
"PFDOA","Lperc",-0.0455302889420732,0.714471169361483,67,0.942680076772857
"PFDOA","Hperc",0.0455665639203593,0.714253437387585,67,0.942680076772857
"PFDOA","Eperc",-0.14649478205159,0.236832886237798,67,0.72372601818783
"PFDOA","Mperc",-0.0182996475401325,0.883145863501266,67,0.944353992654819
"PFDOA","Bperc",-0.108837766715263,0.380639531071429,67,0.79055902607143
"PFDOA","Total_count",-0.197206147459455,0.109692648819625,67,0.646234933517775
"PFDS","Lperc",-0.118774466832457,0.342183531059631,66,0.786294071371068
"PFDS","Hperc",0.0760615423155609,0.543850436419051,66,0.870209329926089
"PFDS","Eperc",0.0119417942153678,0.924183521055568,66,0.950588764514298
"PFDS","Mperc",-0.0299896196029457,0.811078072825376,66,0.942680076772857
"PFDS","Bperc",-0.0853506646841809,0.495625613987545,66,0.836368223603983
"PFDS","Total_count",-0.0206269507946525,0.869424286079438,66,0.944353992654819
"PFHPA","Lperc",-0.109343184158181,0.378418294650673,67,0.79055902607143
"PFHPA","Hperc",0.0421384822686981,0.734927825105055,67,0.942680076772857
"PFHPA","Eperc",0.0882293311320999,0.477714222022374,67,0.832147354490587
"PFHPA","Mperc",0.102290211241786,0.41011662925169,67,0.804169260484995
"PFHPA","Bperc",0.319095790679461,0.00848964130258952,67,0.458440630339834
"PFHPA","Total_count",-0.0184116936280827,0.882435446992259,67,0.944353992654819
"PFHPS","Lperc",-0.166709911912794,0.177543688878219,67,0.646234933517775
"PFHPS","Hperc",-0.0119247196799548,0.923699648222688,67,0.950588764514298
"PFHPS","Eperc",0.133194288149183,0.282589070985538,67,0.72372601818783
"PFHPS","Mperc",0.0393448419199432,0.751916613368048,67,0.942680076772857
"PFHPS","Bperc",-0.199125284476425,0.106210987533156,67,0.646234933517775
"PFHPS","Total_count",-0.0270245996045224,0.828143952186626,67,0.942680076772857
"PFHXA","Lperc",0.0122712130168524,0.921489513276732,67,0.950588764514298
"PFHXA","Hperc",-0.442345577961597,0.000178301916161747,67,0.0192566069454686
"PFHXA","Eperc",0.125491103623589,0.311602475191665,67,0.747845940459997
"PFHXA","Mperc",-0.110490845689261,0.373403517478694,67,0.79055902607143
"PFHXA","Bperc",-0.0991027178215747,0.424933221408916,67,0.805136630037946
"PFHXA","Total_count",0.0384975390157387,0.757092979540485,67,0.942680076772857
"PFHXDA","Lperc",NA,NA,22,NA
"PFHXDA","Hperc",NA,NA,22,NA
"PFHXDA","Eperc",NA,NA,22,NA
"PFHXDA","Mperc",NA,NA,22,NA
"PFHXDA","Bperc",NA,NA,22,NA
"PFHXDA","Total_count",NA,NA,22,NA
"PFHXS","Lperc",-0.0500623660354135,0.687449302590709,67,0.942680076772857
"PFHXS","Hperc",0.280464564036191,0.0215135879010353,67,0.464693498662363
"PFHXS","Eperc",0.19941527485999,0.10569242002323,67,0.646234933517775
"PFHXS","Mperc",0.193772440572223,0.116141040499081,67,0.646234933517775
"PFHXS","Bperc",-0.0191977534526009,0.877454144554205,67,0.944353992654819
"PFHXS","Total_count",0.0748882415327975,0.546976053057173,67,0.870209329926089
"PFMBA","Lperc",NA,NA,67,NA
"PFMBA","Hperc",NA,NA,67,NA
"PFMBA","Eperc",NA,NA,67,NA
"PFMBA","Mperc",NA,NA,67,NA
"PFMBA","Bperc",NA,NA,67,NA
"PFMBA","Total_count",NA,NA,67,NA
"PFMPA","Lperc",NA,NA,67,NA
"PFMPA","Hperc",NA,NA,67,NA
"PFMPA","Eperc",NA,NA,67,NA
"PFMPA","Mperc",NA,NA,67,NA
"PFMPA","Bperc",NA,NA,67,NA
"PFMPA","Total_count",NA,NA,67,NA
"PFNA","Lperc",-0.0355018960836685,0.775478090598485,67,0.942680076772857
"PFNA","Hperc",0.210400287512409,0.08745499604153,67,0.646234933517775
"PFNA","Eperc",-0.0644363072951183,0.604425453358335,67,0.932542128038574
"PFNA","Mperc",0.0168820497608321,0.892141737551094,67,0.944620663289393
"PFNA","Bperc",0.131303204012471,0.289540214363878,67,0.72372601818783
"PFNA","Total_count",-0.190778380929809,0.121997804252272,67,0.646234933517775
"PFNS","Lperc",-0.129878334591797,0.29485134074319,67,0.72372601818783
"PFNS","Hperc",0.176122030857602,0.15396582734717,67,0.646234933517775
"PFNS","Eperc",-0.0520358560318001,0.675801067293012,67,0.942680076772857
"PFNS","Mperc",0.163843278305674,0.185221039150733,67,0.646234933517775
"PFNS","Bperc",-0.21419801010767,0.0817615900310038,67,0.646234933517775
"PFNS","Total_count",-0.184639772772627,0.134707460455206,67,0.646234933517775
"PFOA","Lperc",-0.170125787614745,0.168700794180077,67,0.646234933517775
"PFOA","Hperc",0.139648887070151,0.259701340104626,67,0.72372601818783
"PFOA","Eperc",0.0314377692628738,0.800616771824632,67,0.942680076772857
"PFOA","Mperc",0.0747143978588729,0.547909578101612,67,0.870209329926089
"PFOA","Bperc",-0.0500052834674671,0.687787320743267,67,0.942680076772857
"PFOA","Total_count",0.0215264843903483,0.862725374201724,67,0.944353992654819
"PFODA","Lperc",NA,NA,22,NA
"PFODA","Hperc",NA,NA,22,NA
"PFODA","Eperc",NA,NA,22,NA
"PFODA","Mperc",NA,NA,22,NA
"PFODA","Bperc",NA,NA,22,NA
"PFODA","Total_count",NA,NA,22,NA
"PFOS","Lperc",-0.143681086016328,0.246057654706903,67,0.72372601818783
"PFOS","Hperc",-0.190215818733713,0.123122979375695,67,0.646234933517775
"PFOS","Eperc",0.045560677758855,0.714288766135486,67,0.942680076772857
"PFOS","Mperc",-0.0306028862635354,0.805806934629459,67,0.942680076772857
"PFOS","Bperc",-0.242629989538067,0.0478941395649809,67,0.593170250802812
"PFOS","Total_count",-0.0259040473043494,0.835167761650678,67,0.942680076772857
"PFPEA","Lperc",NA,NA,66,NA
"PFPEA","Hperc",NA,NA,66,NA
"PFPEA","Eperc",NA,NA,66,NA
"PFPEA","Mperc",NA,NA,66,NA
"PFPEA","Bperc",NA,NA,66,NA
