"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"N_ETFOSAA","weight_resid_foot","log",188.933276224071,0.0734651054175023,0.0650420609212978,0.00384506681950913,112,-0.0232539462074812,-0.360552435946995,"Decreasing",0.00838923669711082
"N_MEFOSAA","weight_resid_foot","linear",196.067912643064,0.0125223943471618,0.00354532520486339,0.240121435114009,112,-0.308659202866413,-0.252483227944726,"Decreasing",0.25056149751027
"PFBA","weight_resid_foot","quadratic",191.06719765223,0.0723565599663967,0.0553355794153215,0.0166827920808697,112,0.917491453307944,0.782620209671677,"Increasing",0.0307990007646825
"PFDA","weight_resid_foot","log",182.198795367549,0.12753510836559,0.119603609350732,0.000110965340224721,112,0.016511399413971,0.977920653091258,"Increasing",0.000887722721797764
"PFDOA","weight_resid_foot","power",188.307767579727,NA,NA,0.000768162994328716,112,0.0519785728004896,0.96175953252746,"Increasing",0.00307265197731486
"PFDS","weight_resid_foot","log",189.294944629591,0.0404519782897946,0.031648785430068,0.0342856956229572,111,0.154940764172509,0.634792310814769,"Increasing",0.0514285434344358
"PFHPA","weight_resid_foot","power",196.828097194577,NA,NA,1,112,0.284789405838261,0.444271473107688,"Increasing",1
"PFHPS","weight_resid_foot","log",187.246661964624,0.0873133140021217,0.0790161623112319,0.001561446416565,112,0.0924678867628131,0.923939124534029,"Increasing",0.00474711907465599
"PFHXA","weight_resid_foot","log",188.836583431613,0.0742646642114144,0.0658488884315183,0.0036502102445067,112,-8.12593768920597,-0.349415320635857,"Decreasing",0.00838923669711082
"PFHXS","weight_resid_foot","log",172.587090700307,0.19928616562437,0.192006948948228,8.07923246758032e-07,112,0.216059603608443,1.3538294762105,"Increasing",1.93901579221928e-05
"PFNA","weight_resid_foot","log",181.937559302668,0.129567730639739,0.121654710009191,9.69205849408032e-05,112,0.00522908384845535,0.775311033126627,"Increasing",0.000887722721797764
"PFNS","weight_resid_foot","log",187.271735299839,0.0871089688151872,0.07880995944078,0.00158237302488533,112,0.586271731999014,0.443807701123254,"Increasing",0.00474711907465599
"PFOA","weight_resid_foot","log",194.778266584591,0.0238276863042716,0.0149533925434014,0.104152988745424,112,0.00989940715794506,0.29005262972779,"Increasing",0.124983586494509
"PFOS","weight_resid_foot","quadratic",192.684521388857,0.0588638408389176,0.0415952874598152,0.0366487402909312,112,-0.000830856926017116,-0.40764499532563,"Decreasing",0.0517393980577852
"PFTEDA","weight_resid_foot","quadratic",183.89226719316,0.129919656919953,0.113954879982705,0.000508141850545464,112,-0.126643268693326,-0.734910888227371,"Decreasing",0.00243908088261823
"PFTRDA","weight_resid_foot","log",184.937798804194,0.10593560544799,0.0978077473156991,0.000462230243192449,112,0.024753250114615,0.830496294595447,"Increasing",0.00243908088261823
"TOTAL_PFAS","weight_resid_foot","quadratic",191.288607988531,0.0705209082234947,0.0534662459890635,0.0185805925557996,112,-4.69024594986556e-05,-0.0252895716493776,"Decreasing",0.0318524443813708
"chain_long","weight_resid_foot","linear",227.522108094543,0.0149503364328147,0.00700638753307936,0.17258645614063,126,0.000446056940688258,0.346638877633777,"Increasing",0.188276133971596
"chain_short","weight_resid_foot","quadratic",220.326822156588,0.084277290516378,0.0693874903621727,0.0044512814364092,126,-0.00689645014231008,-0.0804953660610432,"Decreasing",0.0089025628728184
"func_amine","weight_resid_foot","log",223.969287024545,0.0423378373861339,0.0346147554295705,0.0208085273538146,126,-0.0177426585404919,-0.282658293208576,"Decreasing",0.0332936437661034
"func_carboxyl","weight_resid_foot","linear",220.553030720076,0.0679542309769787,0.0604377328396963,0.00319717209138775,126,0.00180437620352952,0.816095899965757,"Increasing",0.00838923669711082
"func_sulfonate","weight_resid_foot","quadratic",225.995973826226,0.0421349830457992,0.0265599421197146,0.0708296679629864,126,-0.000534337525621592,-0.272238557253893,"Decreasing",0.0894690542690354
"age_Legacy","weight_resid_foot","linear",227.490402588684,0.0151981742804542,0.00725622407303839,0.169043055120064,126,0.000446196942816362,0.349245040096509,"Increasing",0.188276133971596
"age_next_gen","weight_resid_foot","quadratic",225.42017320732,0.0465022922701205,0.0309982645021549,0.0534759709439041,126,1.11797291539381,0.953630896830919,"Increasing",0.0713012945918722
