"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"N_ETFOSAA","IgY_raw","exp",-86.8545115147292,NA,NA,6.84801548588444e-06,111,-0.0201079854190975,-0.311774313923106,"Decreasing",2.73920619435378e-05
"N_MEFOSAA","IgY_raw","power",-78.557236262448,NA,NA,0.0274805607668654,111,-0.108809541392439,-0.0890062048590154,"Decreasing",0.0471095327431978
"PFBA","IgY_raw","power",-93.1111239245093,NA,NA,1.31326535929227e-08,111,-0.206001488702403,-0.17571926986315,"Decreasing",1.57591843115072e-07
"PFDA","IgY_raw","log",-77.4631243813889,0.039731189465397,0.0309213838641622,0.0359615993271373,111,0.00268003286591681,0.158730306549655,"Increasing",0.0575385589234197
"PFDOA","IgY_raw","exp",-75.53844910535,NA,NA,0.56242963369901,111,-0.00632663261884489,-0.117061683346487,"Decreasing",0.61355960039892
"PFDS","IgY_raw","linear",-73.1790441395812,0.0108192256456404,0.00166014440161855,0.279520070880091,110,-0.0246110044281936,-0.100831285142309,"Decreasing",0.344024702621651
"PFHPA","IgY_raw","linear",-73.4526355801787,0.00440177665969073,-0.00473215199480737,0.489033139376168,111,0.0625789832778953,0.0976232139135167,"Increasing",0.545897457908281
"PFHPS","IgY_raw","log",-74.0204099960777,0.0094813437431576,0.000394016621535265,0.309303289338424,111,0.00905190028614191,0.09044658765913,"Increasing",0.371163947206109
"PFHXA","IgY_raw","power",-103.321620307099,NA,NA,4.83047959998934e-13,111,-4.26290157613262,-0.183304767773703,"Decreasing",2.31863020799489e-11
"PFHXS","IgY_raw","log",-91.4634443888066,0.153521970122407,0.145756116637291,2.11241862629381e-05,111,0.0571262145597942,0.35795286043167,"Increasing",7.24257814729306e-05
"PFNA","IgY_raw","log",-78.9661949274137,0.0526467154646074,0.0439554009275855,0.0154167091428891,111,0.000976519605265255,0.144787585353074,"Increasing",0.029600081554347
"PFNS","IgY_raw","log",-83.9010672071263,0.0938419206669182,0.0855285437923028,0.00107584019894967,111,0.18073705409193,0.136817949947591,"Increasing",0.0025820164774792
"PFOA","IgY_raw","log",-78.165624957221,0.0457893805144139,0.0370351546475737,0.0241248616916083,111,0.00393194158828703,0.11520588853681,"Increasing",0.0428886430073036
"PFOS","IgY_raw","linear",-84.4083236639654,0.0979735049204791,0.0896980324885569,0.000823215128245038,111,-0.000496890966448965,-0.243790608650789,"Decreasing",0.00219524034198677
"PFTEDA","IgY_raw","linear",-77.6321551995738,0.0411923741389038,0.0323959739016461,0.0326477674264823,111,-0.030633813666418,-0.177768020706223,"Decreasing",0.0540376840162466
"PFTRDA","IgY_raw","exp",-73.831663213456,NA,NA,1,111,0.00242785862185633,0.0814570846219017,"Increasing",1
"TOTAL_PFAS","IgY_raw","linear",-78.6879446677551,0.0502689500039777,0.0415558211049316,0.0179993338364919,111,-0.000318364137891058,-0.171660351330169,"Decreasing",0.0332295393904467
"chain_long","IgY_raw","exp",-85.8251122713605,NA,NA,0.207784610785375,117,-0.000181931928167375,-0.141382576153574,"Decreasing",0.277046147713833
"chain_short","IgY_raw","linear",-82.844909376478,0.0050389740894708,-0.0036128609184467,0.446929287722639,117,0.00619986891816854,0.0723648700128632,"Increasing",0.510776328825873
"func_amine","IgY_raw","exp",-94.7982655705835,NA,NA,2.63404030458714e-05,117,-0.0179108595809093,-0.285337903983466,"Decreasing",8.42892897467886e-05
"func_carboxyl","IgY_raw","linear",-83.0106128388122,0.00644710907170589,-0.00219248128419225,0.389471088162808,117,0.000153877905138982,0.0695969760815948,"Increasing",0.455966151995482
"func_sulfonate","IgY_raw","quadratic",-92.4176832916694,0.0987425373601139,0.0829310029278352,0.00266922883147944,117,-0.000465306099059582,-0.237067873797668,"Decreasing",0.00582377199595515
"age_Legacy","IgY_raw","exp",-85.7245724484664,NA,NA,0.229761506113608,117,-0.000178060753378848,-0.139370822580925,"Decreasing",0.29806898090414
"age_next_gen","IgY_raw","power",-104.73380169711,NA,NA,1.27548072953441e-09,117,-0.204377843467751,-0.174334300477991,"Decreasing",2.04076916725506e-08
"N_ETFOSAA","log_IgY","quadratic",130.00455393534,0.231742107851983,0.217515109849241,6.56719088258555e-07,111,-0.029887323777378,-0.463402955168245,"Decreasing",4.50321660520152e-06
"N_MEFOSAA","log_IgY","power",148.715866846192,NA,NA,0.00142783572668541,111,-0.383488579902644,-0.313693658360363,"Decreasing",0.00326362451813808
"PFBA","log_IgY","log",137.862855538442,0.16038873764964,0.152685882031747,1.32856785561716e-05,111,-0.58715570089805,-0.500843812866036,"Decreasing",4.90548131304797e-05
"PFDA","log_IgY","log",146.052793577893,0.0960968430511249,0.0878041535378324,0.000929678876209143,111,0.0117577548471857,0.69637654633427,"Increasing",0.00234866242410731
"PFDOA","log_IgY","linear",155.968203900091,0.0116367933048339,0.00256924094983246,0.259763861943898,111,-0.0129219001978131,-0.239093919360136,"Decreasing",0.328122772981767
"PFDS","log_IgY","exp",154.398595987421,NA,NA,1,110,-0.0753356527258138,-0.308650169217659,"Decreasing",1
"PFHPA","log_IgY","log",155.27337883782,0.017804312384254,0.00879334277310051,0.162672456920859,111,0.143538609147723,0.223920230270447,"Increasing",0.22309365520575
"PFHPS","log_IgY","power",155.567689513202,NA,NA,1,111,0.0326065916486603,0.325805063753414,"Increasing",1
"PFHXA","log_IgY","log",112.114891803723,0.334209294893666,0.328101123287186,3.05245664064142e-11,111,-14.4512605707826,-0.621404204543653,"Decreasing",7.32589593753941e-10
"PFHXS","log_IgY","log",127.61072805258,0.234463042433103,0.22743976759304,7.26752099884555e-08,111,0.19915117880144,1.24788128636982,"Increasing",6.97682015889173e-07
"PFNA","log_IgY","power",141.350992991165,NA,NA,9.03970315396734e-07,111,0.00459516224996403,0.681320111639917,"Increasing",5.42382189238041e-06
"PFNS","log_IgY","quadratic",142.59395631926,0.139474272651991,0.123538611034435,0.000300087834493336,111,-1.19716205091394,-0.906251672541852,"Decreasing",0.000900263503480008
"PFOA","log_IgY","power",147.558416783205,NA,NA,0.000448749594401102,111,0.0147293482818133,0.43156990465713,"Increasing",0.001267057678309
"PFOS","log_IgY","exp",139.059424529478,NA,NA,9.13984080777362e-08,111,-0.00179258540550298,-0.87949976267274,"Decreasing",7.31187264621889e-07
"PFTEDA","log_IgY","quadratic",150.458350479965,0.0762939334985036,0.0591882656003276,0.0137665456135104,111,-0.13926004929018,-0.808126066030915,"Decreasing",0.0275330912270208
"PFTRDA","log_IgY","linear",152.846528955925,0.0390455103063832,0.030229414070662,0.0376342924685101,111,0.0144672001025418,0.485389030640379,"Increasing",0.0582724528544672
"TOTAL_PFAS","log_IgY","quadratic",149.450079932246,0.08464644208054,0.0676954502672166,0.0084294491162458,111,-0.000963970359338013,-0.51976799790326,"Decreasing",0.0175918938078173
"chain_long","log_IgY","linear",157.890196213172,0.025718290562128,0.017246275697451,0.0841260297319144,117,-0.000489367047084978,-0.380295940896584,"Decreasing",0.126189044597872
"chain_short","log_IgY","exp",159.087600224731,NA,NA,1,117,0.0312610291609322,0.364878732366401,"Increasing",1
"func_amine","log_IgY","quadratic",136.470059710009,0.202462875748226,0.188470996375388,2.51074008580827e-06,117,-0.0301094237370247,-0.479673229554541,"Decreasing",1.20515524118797e-05
"func_carboxyl","log_IgY","exp",156.749189157532,NA,NA,0.111981990122512,117,0.00101153624733779,0.457504694699669,"Increasing",0.158092221349428
"func_sulfonate","log_IgY","exp",145.379770515737,NA,NA,1.29262455863414e-06,117,-0.00151662258213132,-0.772701006124924,"Decreasing",6.89399764604876e-06
"age_Legacy","log_IgY","linear",157.996491217107,0.0248327492345905,0.0163530340105436,0.0897248374726599,117,-0.000477190635624225,-0.373504268362616,"Decreasing",0.130508854505687
