"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P","predictor_type"
"PFHXA","log_IgY","log",112.114891803723,0.334209294893666,0.328101123287186,3.05245664064142e-11,111,-14.4512605707826,-0.621404204543653,"Decreasing",8.24163292973184e-10,"analyte"
"PFHXS","log_IgY","log",127.61072805258,0.234463042433103,0.22743976759304,7.26752099884555e-08,111,0.19915117880144,1.24788128636982,"Increasing",7.84892267875319e-07,"analyte"
"PFOS","log_IgY","exp",139.059424529478,NA,NA,9.13984080777362e-08,111,-0.00179258540550298,-0.87949976267274,"Decreasing",8.22585672699625e-07,"analyte"
"N_ETFOSAA","log_IgY","quadratic",130.00455393534,0.231742107851983,0.217515109849241,6.56719088258555e-07,111,-0.029887323777378,-0.463402955168245,"Decreasing",5.06611868085171e-06,"analyte"
"PFNA","log_IgY","power",141.350992991165,NA,NA,9.03970315396734e-07,111,0.00459516224996403,0.681320111639917,"Increasing",6.10179962892796e-06,"analyte"
"func_sulfonate","log_IgY","exp",145.380317720446,NA,NA,1.2933320824423e-06,117,-0.00151659357989966,-0.772686229835918,"Decreasing",7.75999249465378e-06,"grouped"
"func_amine","log_IgY","quadratic",136.725197949874,0.200721813841211,0.186699389522636,2.84304505842351e-06,117,-0.0301738858526846,-0.480700175519119,"Decreasing",1.43680388395676e-05,"grouped"
"age_next_gen","log_IgY","log",138.599050213771,0.173814849551619,0.166630630852068,2.92682272657859e-06,117,-0.591477474175024,-0.504530285471296,"Decreasing",1.43680388395676e-05,"grouped"
"PFBA","log_IgY","log",137.862855538442,0.16038873764964,0.152685882031747,1.32856785561716e-05,111,-0.58715570089805,-0.500843812866036,"Decreasing",5.51866647717896e-05,"analyte"
"PFNS","log_IgY","quadratic",142.59395631926,0.139474272651991,0.123538611034435,0.000300087834493336,111,-1.19716205091394,-0.906251672541852,"Decreasing",0.00101279644141501,"analyte"
"PFOA","log_IgY","power",147.558416783205,NA,NA,0.000448749594401102,111,0.0147293482818133,0.43156990465713,"Increasing",0.00142543988809762,"analyte"
"PFDA","log_IgY","log",146.052793577893,0.0960968430511249,0.0878041535378324,0.000929678876209143,111,0.0117577548471857,0.69637654633427,"Increasing",0.00264224522712072,"analyte"
"N_MEFOSAA","log_IgY","power",148.715866846192,NA,NA,0.00142783572668541,111,-0.383488579902644,-0.313693658360363,"Decreasing",0.00367157758290534,"analyte"
"TOTAL_PFAS","log_IgY","quadratic",149.452625737823,0.0846254480362516,0.0676740674443302,0.00843989545662543,111,-0.000963847262974295,-0.519701624959425,"Decreasing",0.019815406724251,"total"
"PFTEDA","log_IgY","quadratic",150.458350479965,0.0762939334985036,0.0591882656003276,0.0137665456135104,111,-0.13926004929018,-0.808126066030915,"Decreasing",0.0309747276303984,"analyte"
