"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"N_ETFOSAA","clysis_raw","power",69.4001464158989,NA,NA,1.17799085979682e-22,111,0.0441745587987758,0.684926534175019,"Increasing",8.07765161003535e-22
"N_MEFOSAA","clysis_raw","log",115.414744163305,0.0566939882970328,0.0480398047034276,0.0118527599961423,111,0.286723764673171,0.234540039502654,"Increasing",0.0145880123029443
"PFBA","clysis_raw","log",101.05130340421,0.171190468756446,0.163586711589074,6.36833677399606e-06,111,0.51287576626475,0.437483028623832,"Increasing",1.32904419631222e-05
"PFDA","clysis_raw","exp",64.6480732869929,NA,NA,1.01705112193819e-24,111,-0.0176526377027913,-1.04551277322322,"Decreasing",9.7636907706066e-24
"PFDOA","clysis_raw","power",114.790164399992,NA,NA,0.00607821789306348,111,-0.0309044627605911,-0.571825274459216,"Decreasing",0.00788525564505533
"PFDS","clysis_raw","quadratic",111.613699550313,0.0943333380573239,0.0774049892359655,0.00498664448137199,110,0.190756717438667,0.78153027134622,"Increasing",0.00664885930849598
"PFHPA","clysis_raw","power",116.599796734577,NA,NA,0.037126978101738,111,-0.186036773696523,-0.290217366966576,"Decreasing",0.0434657304605713
"PFHPS","clysis_raw","power",109.91363321704,NA,NA,4.63367618899343e-05,111,-0.0682979020432418,-0.682432637216072,"Decreasing",8.23764655821053e-05
"PFHXA","clysis_raw","log",13.9732008753625,0.621769816507747,0.618299814824331,9.34929735303485e-25,111,16.8077388020597,0.722732768488567,"Increasing",9.7636907706066e-24
"PFHXS","clysis_raw","exp",55.3985454337105,NA,NA,9.77966270179929e-29,111,-0.16313437777443,-1.02220001113458,"Decreasing",2.34711904843183e-27
"PFNA","clysis_raw","exp",63.1012034577245,NA,NA,2.16543799233378e-25,111,-0.00603059711909105,-0.89415060425051,"Decreasing",3.46470078773405e-24
"PFNS","clysis_raw","power",75.5020414566968,NA,NA,5.26212628059704e-20,111,-0.81912680119784,-0.620078988506765,"Decreasing",3.15727576835823e-19
"PFOA","clysis_raw","power",76.854624434861,NA,NA,2.03507579946124e-19,111,-0.0229976614021107,-0.673831479081843,"Decreasing",1.08537375971266e-18
"PFOS","clysis_raw","quadratic",103.733675002522,0.166079675711879,0.150636706743581,5.50460503950211e-05,111,0.00152453291095135,0.747984631165881,"Increasing",9.43646578200362e-05
"PFTEDA","clysis_raw","quadratic",100.019915600907,0.193518812282964,0.178583975473389,9.03834743536647e-06,111,0.120663522607727,0.700210421692639,"Increasing",1.80766948707329e-05
"PFTRDA","clysis_raw","log",82.6085046834755,0.298066246271185,0.291626487062663,5.74692294584607e-10,111,-0.0291803765996829,-0.979030815295961,"Decreasing",1.83901534267074e-09
"TOTAL_PFAS","clysis_raw","quadratic",111.985842604174,0.101720097081496,0.0850852840644863,0.00304951590473122,111,0.00043542514117047,0.234779058993411,"Increasing",0.00430519892432643
"chain_long","clysis_raw","log",124.20077312911,0.0152841482712903,0.00672140173451896,0.184179422147642,117,0.000370313170021115,0.287777030060469,"Increasing",0.186343678800047
"chain_short","clysis_raw","quadratic",112.093954582589,0.127134021728982,0.111820583513701,0.000430537792495202,117,-0.00668550103486604,-0.0780331680789564,"Decreasing",0.000688860467992324
"func_amine","clysis_raw","power",72.7664987137459,NA,NA,5.60203883107307e-23,117,0.0409213131069198,0.651917439106339,"Increasing",4.48163106485846e-22
"func_carboxyl","clysis_raw","exp",94.4140051173358,NA,NA,1.41168790206519e-13,117,-0.00155305483461175,-0.702426511982043,"Decreasing",6.77610192991292e-13
"func_sulfonate","clysis_raw","exp",112.530900182958,NA,NA,1.04185252622191e-05,117,0.00127039057561482,0.647248753588843,"Increasing",2.00035685034606e-05
"age_Legacy","clysis_raw","log",124.218432480503,0.0151355093341245,0.00657147028485616,0.186343678800047,117,0.000365830789326097,0.286341246267376,"Increasing",0.186343678800047
"age_next_gen","clysis_raw","log",100.176837957848,0.19807078376634,0.191097486233874,4.96744524173267e-07,117,0.540245316818258,0.460829255245974,"Increasing",1.19218685801584e-06
"N_ETFOSAA","log_clysis","log",371.108152139063,0.345571952885176,0.339279375509072,3.4712303964225e-11,106,0.148912073755007,2.30888170357138,"Increasing",1.19013613591628e-10
"N_MEFOSAA","log_clysis","power",406.803721352266,NA,NA,0.000711769715845336,106,1.41871793032384,1.1605112670049,"Increasing",0.001067654573768
"PFBA","log_clysis","power",403.844517078748,NA,NA,3.69124965193815e-05,106,1.63556667341125,1.3951383724198,"Increasing",6.81461474203967e-05
"PFDA","log_clysis","log",378.845074183526,0.296018924600947,0.289249875799033,1.66200417816039e-09,106,-0.0735810613174059,-4.357985518646,"Decreasing",4.6927176795117e-09
"PFDOA","log_clysis","log",414.126350545284,0.0179976473856794,0.00855531707208013,0.170361578175236,106,-0.0559183168390931,-1.03465661647374,"Decreasing",0.17776860331329
"PFDS","log_clysis","quadratic",407.541069347013,0.0616116905828427,0.0432119198099573,0.0390401987894516,105,0.626103461522106,2.56514588185607,"Increasing",0.0446173700450876
"PFHPA","log_clysis","log",412.14687595341,0.0361656772368375,0.026898039517961,0.0508680396930157,106,-0.731484798581762,-1.14111628578755,"Decreasing",0.0567829280294129
"PFHPS","log_clysis","log",410.165065911736,0.0540184228992306,0.0449224461963386,0.0165095386165322,106,-0.208616053751442,-2.08449160908441,"Decreasing",0.0198114463398387
"PFHXA","log_clysis","power",346.743115358869,NA,NA,5.86610379509198e-30,106,57.2767618796816,2.46290076082631,"Increasing",2.81572982164415e-28
"PFHXS","log_clysis","log",366.857241888465,0.371297157407186,0.36525193776687,4.16865090950542e-12,106,-0.880819115322801,-5.51921257661267,"Decreasing",1.81904766960237e-11
"PFNA","log_clysis","log",370.002019044142,0.352365544190463,0.346138289807679,1.99896512784463e-11,106,-0.0257717151581147,-3.82114643477851,"Decreasing",7.38079431819556e-11
"PFNS","log_clysis","log",393.986111670889,0.187926014988511,0.180117611286477,3.4526015506755e-06,106,-2.48913448314765,-1.88427480374277,"Decreasing",7.53294883783746e-06
"PFOA","log_clysis","log",388.704280470239,0.227398915197419,0.219970058612779,2.36970781618491e-07,106,-0.0852246657104554,-2.49708270531634,"Decreasing",5.98663027246714e-07
"PFOS","log_clysis","quadratic",400.429619272784,0.153160373631507,0.136716885740856,0.000191319990751324,106,0.00593931670416017,2.91401883319551,"Increasing",0.000316667570898743
"PFTEDA","log_clysis","quadratic",402.839896444191,0.133683948543292,0.11686227764122,0.000617067402569199,106,0.427019609965676,2.47799479663082,"Increasing",0.000955459203978115
"PFTRDA","log_clysis","log",385.855852938609,0.247883752473923,0.24065186547848,5.6287627551891e-08,106,-0.111386531971169,-3.73712953416467,"Decreasing",1.50100340138376e-07
"TOTAL_PFAS","log_clysis","quadratic",408.342774646347,0.0875222124234765,0.0698041971307285,0.00894228513525355,106,0.00210370728318483,1.13430844855685,"Increasing",0.0112955180655834
"chain_long","log_clysis","quadratic",430.371568786782,0.0349417914425605,0.0170703431359411,0.146517496951836,111,-0.00102907498473237,-0.799712693985251,"Decreasing",0.159837269402002
"chain_short","log_clysis","quadratic",419.693592005066,0.123452907998787,0.107220554443209,0.000812575413169043,111,-0.0875762915832249,-1.0221904753594,"Decreasing",0.00118192787370043
"func_amine","log_clysis","log",384.992563103663,0.347124425789049,0.341134741621976,1.0307903199962e-11,111,0.142080218055933,2.26347995384907,"Increasing",4.12316127998481e-11
"func_carboxyl","log_clysis","power",409.702316674087,NA,NA,1.11192449799196e-09,111,-0.0100961251126939,-4.56634613884498,"Decreasing",3.33577349397588e-09
"func_sulfonate","log_clysis","quadratic",422.571050512728,0.100433050897085,0.0837744036914755,0.00329464402272308,111,0.00453217266420719,2.30908758634159,"Increasing",0.00451836894544879
"age_Legacy","log_clysis","quadratic",430.511998841816,0.0337200892704685,0.0158260168495512,0.156877018779029,111,-0.00103320022482068,-0.808701313970522,"Decreasing",0.16733548669763
"age_next_gen","log_clysis","power",416.832862648537,NA,NA,1.3894152726812e-06,111,1.7377212848709,1.48227625599488,"Increasing",3.17580633755702e-06
