"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P","predictor_type"
"PFHXA","log_clysis","power",346.7431154,NA,NA,5.87e-30,106,57.27676188,2.462900761,"Increasing",3.17e-28,"analyte"
"PFHXS","log_clysis","log",366.8572419,0.371297157,0.365251938,4.17e-12,106,-0.880819115,-5.519212577,"Decreasing",2.05e-11,"analyte"
"PFNA","log_clysis","log",370.002019,0.352365544,0.34613829,2e-11,106,-0.025771715,-3.821146435,"Decreasing",9e-11,"analyte"
"func_amine","log_clysis","log",386.4811486,0.338309948,0.332239398,2.17e-11,111,0.141151649,2.248686924,"Increasing",9e-11,"grouped"
"N_ETFOSAA","log_clysis","log",371.1081521,0.345571953,0.339279376,3.47e-11,106,0.148912074,2.308881704,"Increasing",1.34e-10,"analyte"
"func_carboxyl","log_clysis","power",409.7023167,NA,NA,1.11e-09,111,-0.010096125,-4.566346139,"Decreasing",3.75e-09,"grouped"
"PFDA","log_clysis","log",378.8450742,0.296018925,0.289249876,1.66e-09,106,-0.073581061,-4.357985519,"Decreasing",5.28e-09,"analyte"
"PFTRDA","log_clysis","log",385.8558529,0.247883752,0.240651865,5.63e-08,106,-0.111386532,-3.737129534,"Decreasing",1.69e-07,"analyte"
"PFOA","log_clysis","log",388.7042805,0.227398915,0.219970059,2.37e-07,106,-0.085224666,-2.497082705,"Decreasing",6.73e-07,"analyte"
"age_next_gen","log_clysis","power",416.8520227,NA,NA,1.42e-06,111,1.735619867,1.480483746,"Increasing",3.64e-06,"grouped"
"PFNS","log_clysis","log",393.9861117,0.187926015,0.180117611,3.45e-06,106,-2.489134483,-1.884274804,"Decreasing",8.47e-06,"analyte"
"PFBA","log_clysis","power",403.8445171,NA,NA,3.69e-05,106,1.635566673,1.395138372,"Increasing",7.67e-05,"analyte"
"PFOS","log_clysis","quadratic",400.4296193,0.153160374,0.136716886,0.00019132,106,0.005939317,2.914018833,"Increasing",0.000356251,"analyte"
"PFTEDA","log_clysis","quadratic",402.8398964,0.133683949,0.116862278,0.000617067,106,0.42701961,2.477994797,"Increasing",0.001074892,"analyte"
"N_MEFOSAA","log_clysis","power",406.8037214,NA,NA,0.00071177,106,1.41871793,1.160511267,"Increasing",0.001201111,"analyte"
"chain_short","log_clysis","quadratic",419.6903368,0.123478614,0.107246736,0.00081129,111,-0.087794434,-1.024736629,"Decreasing",0.001327565,"grouped"
"func_sulfonate","log_clysis","quadratic",422.5713357,0.10043074,0.08377205,0.003295101,111,0.004532104,2.30905269,"Increasing",0.00508387,"grouped"
"TOTAL_PFAS","log_clysis","quadratic",408.3441662,0.087510233,0.069791985,0.008948333,106,0.002103311,1.134094615,"Increasing",0.012716052,"total"
"PFHPS","log_clysis","log",410.1650659,0.054018423,0.044922446,0.016509539,106,-0.208616054,-2.084491609,"Decreasing",0.022287877,"analyte"
