effect,group,term,estimate,std.error,statistic,df,p.value,p_term,best_shape_model,pfas_var,immune_var,n_obs,FDR_p
fixed,NA,log_PFAS_scaled,-0.122097384,0.038975414,-3.132676998,109.9966134,0.003908481,0.002220177,log,PFBA,IgY,110,0.022473764
fixed,NA,log_PFAS_scaled,0.067549136,0.053213115,1.269407666,74.40281368,0.207073707,0.208252058,log,PFDA,IgY,110,0.340192519
fixed,NA,PFAS_scaled,-0.06959273,0.046061896,-1.510852489,86.56998759,0.13307888,0.134467752,linear,PFDOA,IgY,110,0.278255839
fixed,NA,exp_PFAS_scaled,-0.016103035,0.035642697,-0.451790597,68.5741024,0.656310727,0.652845614,exp,PFDS,IgY,109,0.718816511
fixed,NA,log_PFAS_scaled,0.047248978,0.048790466,0.968405955,76.39260464,0.334567602,0.335897705,log,PFHPA,IgY,110,0.405002886
fixed,NA,log_PFAS_scaled,-0.006008505,0.045902404,-0.130897386,106.5431628,0.895882303,0.896103326,power,PFHPS,IgY,110,0.895882303
fixed,NA,log_PFAS_scaled,-0.206616933,0.040404626,-5.113695042,93.97294303,9.09E-06,1.66E-06,log,PFHXA,IgY,110,0.000209117
fixed,NA,log_PFAS_scaled,0.177804757,0.050275582,3.536602673,74.28657059,0.000631623,0.000702315,log,PFHXS,IgY,110,0.007263667
fixed,NA,log_PFAS_scaled,0.095148393,0.05490097,1.733091289,70.14675323,0.086149526,0.08747359,power,PFNA,IgY,110,0.19814391
fixed,NA,PFAS_scaled + PFAS_sq_scaled,0.148432315,0.111340585,1.333137553,103.0709039,0.06800796,0.185425809,quadratic,PFNS,IgY,110,0.173798121
fixed,NA,log_PFAS_scaled,0.096388352,0.045504331,2.118223676,90.42853097,0.043071713,0.036899175,power,PFOA,IgY,110,0.165108231
fixed,NA,exp_PFAS_scaled,-0.046114651,0.043143841,-1.068858268,108.530252,0.305127185,0.287505113,exp,PFOS,IgY,110,0.389884736
fixed,NA,PFAS_scaled + PFAS_sq_scaled,-0.074393343,0.148837547,-0.49982914,83.88807429,0.30433175,0.618503949,quadratic,PFTEDA,IgY,110,0.389884736
fixed,NA,PFAS_scaled,0.011160812,0.05012861,0.222643549,85.07122927,0.826832531,0.824346623,linear,PFTRDA,IgY,110,0.864415828
fixed,NA,PFAS_scaled,0.070438411,0.052194114,1.349547014,76.7174338,0.179136585,0.181130405,linear,PFUNDA,IgY,110,0.340192519
fixed,NA,PFAS_scaled + PFAS_sq_scaled,-0.200443601,0.182888394,-1.095988634,105.5081618,0.268857458,0.275579127,quadratic,TOTAL_PFAS,IgY,110,0.389884736
fixed,NA,PFAS_scaled,-0.076931447,0.040515884,-1.898797189,114.5022349,0.06008988,0.060107928,linear,chain_long,IgY,115,0.173798121
fixed,NA,exp_PFAS_scaled,0.032191651,0.040533535,0.794197957,114.3829764,0.428725567,0.428724841,exp,chain_short,IgY,115,0.493034402
fixed,NA,PFAS_scaled + PFAS_sq_scaled,-0.324235391,0.11247176,-2.882816005,69.56252543,0.014184799,0.005239667,quadratic,func_amine,IgY,115,0.065250076
fixed,NA,exp_PFAS_scaled,-0.040529361,0.038398261,-1.055499909,90.08285569,0.301041287,0.294019348,exp,func_carboxyl,IgY,115,0.389884736
fixed,NA,exp_PFAS_scaled,-0.052876681,0.040180711,-1.315971748,111.920677,0.201537974,0.190872567,exp,func_sulfonate,IgY,115,0.340192519
fixed,NA,PFAS_scaled,-0.075748571,0.04049962,-1.870352616,114.4426282,0.063959712,0.063989769,linear,age_Legacy,IgY,115,0.173798121
fixed,NA,log_PFAS_scaled,-0.130434205,0.038175149,-3.416730748,114.9618701,0.001620216,0.000877001,log,age_next_gen,IgY,115,0.012421658
