"effect","group","term","estimate","std.error","statistic","df","p.value","p_term","best_shape_model","pfas_var","immune_var","n_obs","FDR_p"
"fixed",NA,"log_PFAS_scaled",0.470906690660611,0.275081952380867,1.7118778116298,97.8961129205346,0.0905281077304159,0.0900854769461132,"power","PFBA","Clysis",110,0.168429571925753
"fixed",NA,"log_PFAS_scaled",-1.20230443577403,0.276099568204131,-4.35460454934548,59.3665374902172,7.07392734199616e-05,5.34702458598188e-05,"log","PFDA","Clysis",110,0.000813501644329558
"fixed",NA,"log_PFAS_scaled",-0.538601683841355,0.278677221937426,-1.93270795545067,67.3450991645263,0.0592294616619662,0.0574788439908345,"log","PFDOA","Clysis",110,0.123843419838657
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",-1.56272263757753,0.80562549532545,-1.93976313640153,87.073961549976,0.132226023968007,0.0556455455411589,"quadratic","PFDS","Clysis",109,0.217228467947441
"fixed",NA,"log_PFAS_scaled",-0.415721599005009,0.28485098815529,-1.45943534090313,63.3556751521177,0.151420804301351,0.149386025155085,"log","PFHPA","Clysis",110,0.232178566595405
"fixed",NA,"log_PFAS_scaled",-0.267943875389174,0.29268262758697,-0.915475843572423,77.4227185498728,0.362865853217865,0.362784476175731,"log","PFHPS","Clysis",110,0.397424505905281
"fixed",NA,"log_PFAS_scaled",1.28571037229792,0.260698373163586,4.93179284817071,82.6467832580361,8.23528906047537e-06,4.14999677199947e-06,"power","PFHXA","Clysis",110,0.000189411648390933
"fixed",NA,"log_PFAS_scaled",-1.01771501042484,0.290132195381211,-3.50776310463456,60.311588440085,0.00101713971872568,0.000860258743805318,"log","PFHXS","Clysis",110,0.00363326038728468
"fixed",NA,"log_PFAS_scaled",-1.05680645695659,0.296652629055378,-3.56243752270711,60.730549207098,0.000787208941002217,0.000721957478188043,"log","PFNA","Clysis",110,0.0036211611286102
"fixed",NA,"log_PFAS_scaled",-0.778745983320376,0.26748225609383,-2.91139305721722,92.5790668296747,0.00566346041372144,0.00450789728217184,"log","PFNS","Clysis",110,0.0144732877239548
"fixed",NA,"log_PFAS_scaled",-0.93324595999557,0.264599218967367,-3.52701706239982,66.4474873745259,0.00110577490047795,0.000767297012432809,"log","PFOA","Clysis",110,0.00363326038728468
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",-0.476830973951368,1.05871887556216,-0.450384880214946,80.255002433507,0.224840583826106,0.65364729279383,"quadratic","PFOS","Clysis",110,0.287296301555579
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",-2.00406432773779,0.889335029103778,-2.25344134904634,75.2569582414772,0.0951993232623822,0.0271436148612354,"quadratic","PFTEDA","Clysis",110,0.168429571925753
"fixed",NA,"log_PFAS_scaled",-1.00000068073697,0.273251134004803,-3.65963963655277,59.0773691620071,0.000568404978645387,0.000540277159450875,"log","PFTRDA","Clysis",110,0.00326832862721098
"fixed",NA,"PFAS_scaled",-1.1214196045204,0.271605291266294,-4.12885772324997,55.4672117983173,0.000119177814975388,0.000123751420481101,"linear","PFUNDA","Clysis",110,0.000913696581477978
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",-0.562234401575208,1.19850947613302,-0.469111352702237,84.2110519476961,0.735433990958661,0.640202312473581,"quadratic","TOTAL_PFAS","Clysis",110,0.735433990958661
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",0.478705664599969,0.79255778904481,0.60400095894194,104.552482279616,0.207428372113056,0.547151349654256,"quadratic","chain_long","Clysis",115,0.280638385800016
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",-1.89658872001992,0.668892698335808,-2.83541549300598,66.73628006141,0.0165576378770344,0.00605153969492428,"quadratic","chain_short","Clysis",115,0.0380825671171792
"fixed",NA,"log_PFAS_scaled",0.83016485883144,0.274938952065867,3.01945160041404,63.6353190619723,0.00383726809012138,0.00364159208522418,"log","func_amine","Clysis",115,0.011032145759099
"fixed",NA,"log_PFAS_scaled",-0.31756190846777,0.282964321396883,-1.12226837256405,111.645672763705,0.267760679384488,0.264156119115797,"power","func_carboxyl","Clysis",115,0.32413134872859
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",-0.637021860642028,0.91995342867159,-0.692450118439024,98.0763344253474,0.516976970125683,0.490290983877572,"quadratic","func_sulfonate","Clysis",115,0.540475923313214
"fixed",NA,"PFAS_scaled + PFAS_sq_scaled",0.467318607910018,0.792268088189932,0.589849086283009,104.792097688292,0.206314603511913,0.556561533831543,"quadratic","age_Legacy","Clysis",115,0.280638385800016
"fixed",NA,"log_PFAS_scaled",0.291006085832901,0.269780251944122,1.07867823436229,94.8505464218325,0.289516561444343,0.283466698906434,"power","age_next_gen","Clysis",115,0.332944045660995
