"effect","term","estimate","std.error","statistic","df","p.value","best_shape_model","focal_terms","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","(Intercept)",-2.29598700400701,0.232751712343669,-9.86453324397838,80.4490928958545,1.67791788767355e-15,"log","log_PFAS_scaled","PFBA","log_igy",110,"covariate",3.08736891331933e-14
"fixed","log_PFAS_scaled",-0.0925901547265982,0.206398744138656,-0.448598440426544,109.916854443163,0.654604469435325,"log","log_PFAS_scaled","PFBA","log_igy",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.0387036059842116,0.0743862747885883,0.520305743152353,103.550260338719,0.603961162025028,"log","log_PFAS_scaled","PFBA","log_igy",110,"covariate",0.731110880346087
"fixed","DNA_sexU",0.248375353081809,0.275157817755457,0.902665078200864,84.6762645752839,0.369264312381105,"log","log_PFAS_scaled","PFBA","log_igy",110,"covariate",0.573257407908194
"fixed","age",0.021355496854704,0.0049466460862758,4.31716692123046,77.7140220101701,4.61237424160655e-05,"log","log_PFAS_scaled","PFBA","log_igy",110,"covariate",0.000265211518892376
"fixed","log_PFAS_scaled:DNA_sexM",-0.0345851781757944,0.0682524936858767,-0.506724022934139,83.2407526376345,0.61368812960292,"log","log_PFAS_scaled","PFBA","log_igy",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:DNA_sexU",-0.0555270818660612,0.241875243251618,-0.229569099836718,109.998221419235,0.81885295492904,"log","log_PFAS_scaled","PFBA","log_igy",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",-0.000229957017173095,0.00418287846992547,-0.054975782544596,107.796402003737,0.95625952054768,"log","log_PFAS_scaled","PFBA","log_igy",110,"interaction",0.996458388374059
"fixed","(Intercept)",-2.24234627430568,0.2722356917633,-8.23678283983177,93.4005324549481,1.05476610622473e-12,"log","log_PFAS_scaled","PFDA","log_igy",110,"covariate",1.02145770287026e-11
"fixed","log_PFAS_scaled",0.148960504360627,0.23773786702298,0.62657458075969,105.163388572555,0.532295926919895,"log","log_PFAS_scaled","PFDA","log_igy",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.0523296471973925,0.0758965007075359,0.689486955387346,93.6316780097328,0.492222119590633,"log","log_PFAS_scaled","PFDA","log_igy",110,"covariate",0.64630641387142
"fixed","DNA_sexU",0.825128775998646,0.950372368852225,0.86821629399344,93.1245529589141,0.387507890543137,"log","log_PFAS_scaled","PFDA","log_igy",110,"covariate",0.584438129999485
"fixed","age",0.0202169436195103,0.00572815318883602,3.52939995719955,92.3666148174865,0.000651444260957953,"log","log_PFAS_scaled","PFDA","log_igy",110,"covariate",0.00278757544223868
"fixed","log_PFAS_scaled:DNA_sexM",0.00250256673358846,0.0675683152486044,0.0370375778111494,74.067014357558,0.970554686963769,"log","log_PFAS_scaled","PFDA","log_igy",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:DNA_sexU",-0.423396353981879,0.672947926158277,-0.629166593021488,109.186727258239,0.530554171782619,"log","log_PFAS_scaled","PFDA","log_igy",110,"interaction",0.996458388374059
"fixed","log_PFAS_scaled:age",-0.00189531904151363,0.00520780568884107,-0.36393812572055,106.79077396948,0.716623763736895,"log","log_PFAS_scaled","PFDA","log_igy",110,"interaction",0.996458388374059
"fixed","(Intercept)",-2.36847668981798,0.24717007656948,-9.58237632439378,92.8628072985824,1.58547989302695e-15,"linear","PFAS_scaled","PFDOA","log_igy",110,"covariate",3.08736891331933e-14
"fixed","PFAS_scaled",0.0652603973455532,0.245316653136266,0.266025141429363,95.1687408714203,0.790795323327935,"linear","PFAS_scaled","PFDOA","log_igy",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.0560041893807615,0.0735751501964357,0.761183486968601,93.5496066020906,0.448462003056235,"linear","PFAS_scaled","PFDOA","log_igy",110,"covariate",0.634746219710363
"fixed","DNA_sexU",0.445626330328533,0.366315141691735,1.21651081162116,83.3820687807003,0.227222785044404,"linear","PFAS_scaled","PFDOA","log_igy",110,"covariate",0.491713850218811
"fixed","age",0.0227110515507625,0.00526967814207272,4.3097606606064,91.0601025157412,4.12654454376176e-05,"linear","PFAS_scaled","PFDOA","log_igy",110,"covariate",0.000253094732017388
"fixed","PFAS_scaled:DNA_sexM",-0.0152899948328631,0.0642583258296645,-0.237945739099922,71.752490912453,0.812601355556996,"linear","PFAS_scaled","PFDOA","log_igy",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:DNA_sexU",-0.327980078084911,0.576972709932943,-0.568449897956231,109.178341279693,0.570896891436842,"linear","PFAS_scaled","PFDOA","log_igy",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:age",-0.00289223622996066,0.00530499234350894,-0.545191405129837,96.5211428428457,0.58687950026142,"linear","PFAS_scaled","PFDOA","log_igy",110,"interaction",0.996458388374059
"fixed","(Intercept)",-2.5095821659749,0.290036144794443,-8.65265316415479,104.06734521553,6.73125007772744e-14,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"covariate",7.74093758938656e-13
"fixed","exp_PFAS_scaled",-0.216200282654871,0.626040958100183,-0.345345268320725,79.2659747353882,0.730749601449646,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.153672777469071,0.122233662471949,1.25720504778573,104.76000493943,0.211475028009947,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"covariate",0.486392564422878
"fixed","DNA_sexU",2.15460114274289,2.9565194962582,0.728762704074767,104.311000248932,0.467779860045156,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"covariate",0.636869867974324
"fixed","age",0.0238785959686607,0.00545784316458395,4.37509749704963,96.6083352860197,3.06880520738812e-05,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"covariate",0.000217646539649556
"fixed","exp_PFAS_scaled:DNA_sexM",0.51882590973587,0.47883322131481,1.08352112309845,105.918293910306,0.281037539806292,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"interaction",0.996458388374059
"fixed","exp_PFAS_scaled:DNA_sexU",8.56908916601426,13.3617902248845,0.641312954461407,108.154032023444,0.522676102252555,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"interaction",0.996458388374059
"fixed","exp_PFAS_scaled:age",-0.00632774047011595,0.0075955658645201,-0.833083483572129,56.3057186392637,0.408317628569616,"exp","exp_PFAS_scaled","PFDS","log_igy",109,"interaction",0.996458388374059
"fixed","(Intercept)",-2.35976375689931,0.242739121005713,-9.72139862384925,91.3987911667093,9.36350227313608e-16,"log","log_PFAS_scaled","PFHPA","log_igy",110,"covariate",2.46126345465291e-14
