"PFAS","WBC_var","rho","p.value","n","FDR_p"
"PFBA","Lperc",-0.241029506902944,0.0494308542335677,67,0.527262445158055
"PFBA","Hperc",-0.112494792200228,0.364744053748908,67,0.794378151801243
"PFBA","Eperc",0.094228714900709,0.448169552536064,67,0.827389943143502
"PFBA","Mperc",0.130217378223508,0.293581830266512,67,0.744887597667006
"PFBA","Bperc",-0.265906240739285,0.0296379928914949,67,0.474207886263918
"PFBA","Total_count",-0.0922803762197438,0.457651537226033,67,0.828953727805645
"PFDA","Lperc",-0.00275394134881745,0.982353989006197,67,0.992694557311525
"PFDA","Hperc",0.221275492054733,0.0719378479327967,67,0.656655890003707
"PFDA","Eperc",-3.99109986343253e-05,0.999744248005273,67,0.999744248005273
"PFDA","Mperc",0.163743189409574,0.185493360546769,67,0.659531948610734
"PFDA","Bperc",0.154314681739951,0.212458514308567,67,0.728429191915086
"PFDA","Total_count",-0.139152473872757,0.261415732436645,67,0.744887597667006
"PFDOA","Lperc",-0.0455302889420732,0.714471169361483,67,0.951617853387833
"PFDOA","Hperc",0.0455665639203593,0.714253437387585,67,0.951617853387833
"PFDOA","Eperc",-0.14649478205159,0.236832886237798,67,0.744887597667006
"PFDOA","Mperc",-0.0182996475401325,0.883145863501266,67,0.951617853387833
"PFDOA","Bperc",-0.108837766715263,0.380639531071429,67,0.794378151801243
"PFDOA","Total_count",-0.197206147459455,0.109692648819625,67,0.656655890003707
"PFDS","Lperc",-0.118774466832457,0.342183531059631,66,0.794378151801243
"PFDS","Hperc",0.0760615423155609,0.543850436419051,66,0.8622839261927
"PFDS","Eperc",0.0119417942153678,0.924183521055568,66,0.953995892702522
"PFDS","Mperc",-0.0299896196029457,0.811078072825376,66,0.951617853387833
"PFDS","Bperc",-0.0853506646841809,0.495625613987545,66,0.83473787618955
"PFDS","Total_count",-0.0206269507946525,0.869424286079438,66,0.951617853387833
"PFHPA","Lperc",-0.109343184158181,0.378418294650673,67,0.794378151801243
"PFHPA","Hperc",0.0421384822686981,0.734927825105055,67,0.951617853387833
"PFHPA","Eperc",0.0882293311320999,0.477714222022374,67,0.833828460257234
"PFHPA","Mperc",0.102290211241786,0.41011662925169,67,0.815871785105119
"PFHPA","Bperc",0.319095790679461,0.00848964130258952,67,0.407502782524297
"PFHPA","Total_count",-0.0184116936280827,0.882435446992259,67,0.951617853387833
"PFHPS","Lperc",-0.166709911912794,0.177543688878219,67,0.659531948610734
"PFHPS","Hperc",-0.0119247196799548,0.923699648222688,67,0.953995892702522
"PFHPS","Eperc",0.133194288149183,0.282589070985538,67,0.744887597667006
"PFHPS","Mperc",0.0393448419199432,0.751916613368048,67,0.951617853387833
"PFHPS","Bperc",-0.199125284476425,0.106210987533156,67,0.656655890003707
"PFHPS","Total_count",-0.0270245996045224,0.828143952186626,67,0.951617853387833
"PFHXA","Lperc",0.0122712130168524,0.921489513276732,67,0.953995892702522
"PFHXA","Hperc",-0.442345577961597,0.000178301916161746,67,0.0171169839515277
"PFHXA","Eperc",0.125491103623589,0.311602475191665,67,0.767021477394869
"PFHXA","Mperc",-0.110490845689261,0.373403517478694,67,0.794378151801243
"PFHXA","Bperc",-0.0991027178215747,0.424933221408916,67,0.815871785105119
"PFHXA","Total_count",0.0384975390157387,0.757092979540485,67,0.951617853387833
"PFHXS","Lperc",-0.0500623660354135,0.687449302590709,67,0.951617853387833
"PFHXS","Hperc",0.280464564036191,0.0215135879010353,67,0.413060887699878
"PFHXS","Eperc",0.19941527485999,0.10569242002323,67,0.656655890003707
"PFHXS","Mperc",0.193772440572223,0.116141040499081,67,0.656655890003707
"PFHXS","Bperc",-0.0191977534526009,0.877454144554205,67,0.951617853387833
"PFHXS","Total_count",0.0748882415327975,0.546976053057173,67,0.8622839261927
"PFNA","Lperc",-0.0355018960836685,0.775478090598485,67,0.951617853387833
"PFNA","Hperc",0.210400287512409,0.08745499604153,67,0.656655890003707
"PFNA","Eperc",-0.0644363072951183,0.604425453358335,67,0.935884572941938
"PFNA","Mperc",0.0168820497608321,0.892141737551094,67,0.951617853387833
"PFNA","Bperc",0.131303204012471,0.289540214363878,67,0.744887597667006
"PFNA","Total_count",-0.190778380929809,0.121997804252272,67,0.656655890003707
"PFNS","Lperc",-0.129878334591797,0.29485134074319,67,0.744887597667006
"PFNS","Hperc",0.176122030857602,0.15396582734717,67,0.659531948610734
"PFNS","Eperc",-0.0520358560318001,0.675801067293012,67,0.951617853387833
"PFNS","Mperc",0.163843278305674,0.185221039150733,67,0.659531948610734
"PFNS","Bperc",-0.21419801010767,0.0817615900310038,67,0.656655890003707
"PFNS","Total_count",-0.184639772772627,0.134707460455206,67,0.659531948610734
"PFOA","Lperc",-0.170125787614745,0.168700794180077,67,0.659531948610734
"PFOA","Hperc",0.139648887070151,0.259701340104626,67,0.744887597667006
"PFOA","Eperc",0.0314377692628738,0.800616771824632,67,0.951617853387833
"PFOA","Mperc",0.0747143978588729,0.547909578101612,67,0.8622839261927
"PFOA","Bperc",-0.0500052834674671,0.687787320743267,67,0.951617853387833
"PFOA","Total_count",0.0215264843903483,0.862725374201724,67,0.951617853387833
"PFOS","Lperc",-0.143681086016328,0.246057654706903,67,0.744887597667006
"PFOS","Hperc",-0.190215818733713,0.123122979375695,67,0.656655890003707
"PFOS","Eperc",0.045560677758855,0.714288766135486,67,0.951617853387833
