"PFAS","Response","Best_Model","AIC","R2","Adj_R2","P_value","N","Slope_Global","Delta_Y","Direction","FDR_P"
"N_ETFOSAA","Total_count_raw","log",734.910479238235,0.0214810113241459,0.0064268730368251,0.2366089468277,67,1.39824297886803,21.6797573873488,"Increasing",0.622305187668779
"N_MEFOSAA","Total_count_raw","linear",736.299007611436,0.000990291691134137,-0.0143790884366946,0.800423405704095,67,-7.96143834450833,-6.51245656580781,"Decreasing",0.987725881430352
"PFBA","Total_count_raw","linear",735.844966113283,0.00773743189670795,-0.0075281460741119,0.479051110715488,67,-73.9053469134942,-21.2108345641728,"Decreasing",0.792912183253221
"PFDA","Total_count_raw","power",734.145400596695,NA,NA,0.802527278662161,67,-1.098358054995,-50.5541261972548,"Decreasing",0.987725881430352
"PFDOA","Total_count_raw","linear",734.086564701747,0.0334404018256998,0.0185702541614798,0.138557315640022,67,-2.56007701838038,-41.7625364008391,"Decreasing",0.443383410048069
"PFDS","Total_count_raw","log",725.701394678266,0.00395194869065155,-0.0116113021110571,0.616052869328413,66,4.07955629235242,16.7139421297678,"Increasing",0.896076900841327
"PFHPA","Total_count_raw","linear",736.327214514407,0.000569621506145317,-0.0148062304706831,0.847970498678073,67,-17.1505881103236,-10.2217505137529,"Decreasing",1
"PFHPS","Total_count_raw","log",735.687047383407,0.0100734367107952,-0.00515620272442319,0.419022464127022,67,2.71720854690936,27.1503478007184,"Increasing",0.773579933772963
"PFHXA","Total_count_raw","linear",735.821420166416,0.00808608349074231,-0.00717413060939998,0.469271456891481,67,379.978502490504,16.3390756070917,"Increasing",0.792912183253221
"PFHXS","Total_count_raw","log",736.190916496952,0.00260069488830587,-0.0127439098057203,0.681923474855576,67,4.13200595992927,13.7843718823241,"Increasing",0.935209336944789
"PFNA","Total_count_raw","power",734.047041580686,NA,NA,0.727349300507941,67,-0.375348860713159,-44.7674832683977,"Decreasing",0.943588281740031
"PFNS","Total_count_raw","linear",734.773152740859,0.0234845779948725,0.0084612638101782,0.215678472242177,67,-40.209219172619,-30.4383789136726,"Decreasing",0.622305187668779
"PFOA","Total_count_raw","log",735.414851774768,0.0140869749168866,-0.00108091777669972,0.338763191265705,67,1.30121608144731,17.6900326272761,"Increasing",0.67752638253141
"PFOS","Total_count_raw","power",736.326907985496,NA,NA,1,67,0.0140776804226578,6.90696050112942,"Increasing",1
"PFTEDA","Total_count_raw","exp",735.058843877872,NA,NA,1,67,-5.84879678899508,-33.9405677665385,"Decreasing",1
"PFTRDA","Total_count_raw","log",733.202542546159,0.0461097717202547,0.031434537439028,0.0809853629016583,67,-2.57340961976205,-50.4645626435338,"Decreasing",0.277664101377114
"TOTAL_PFAS","Total_count_raw","linear",736.160174018255,0.00305823956477895,-0.0122793259803782,0.656693509933596,67,-0.0237244604035937,-12.7921104273157,"Decreasing",0.927096719906253
"chain_long","Total_count_raw","log",768.254253691452,0.081114874579797,0.0676018580295,0.0168631514139588,70,0.154000530992327,84.8884806946524,"Increasing",0.0899368075411138
"chain_short","Total_count_raw","log",767.785720468801,0.0872447400695305,0.0738218685999648,0.0130492401134569,70,8.03292568886796,93.7603086404668,"Increasing",0.0899368075411138
"func_amine","Total_count_raw","log",770.735145749841,0.0479643989818082,0.0339638754374231,0.0685247707852363,70,2.06792212686588,32.9440674031004,"Increasing",0.259281350628449
"func_carboxyl","Total_count_raw","log",770.042200601772,0.0573423118414745,0.0434796987803197,0.0458725338115772,70,0.378955694271911,75.0336064215327,"Increasing",0.200171056632337
"func_sulfonate","Total_count_raw","log",767.925824764637,0.0854160401468564,0.0719662760313691,0.0140862416277535,70,0.171699529947802,87.4788501140455,"Increasing",0.0899368075411138
"age_Legacy","Total_count_raw","log",768.250351573966,0.0811660959766424,0.0676538326821814,0.0168270419147206,70,0.152815595681101,84.9147364209262,"Increasing",0.0899368075411138
"age_next_gen","Total_count_raw","log",773.864264762528,0.00444125700081842,-0.0101993127491695,0.583593181618769,70,32.3773842612393,10.555027269164,"Increasing",0.875389772428153
"N_ETFOSAA","log_Total_count","log",78.8014952607143,0.0162902557862105,0.001156259721383,0.303348209976717,67,0.00907650816323508,0.14073125907096,"Increasing",0.653299025970941
"N_MEFOSAA","log_Total_count","power",79.8860791318532,NA,NA,1,67,-0.0179765993942917,-0.0147048583045306,"Decreasing",1
"PFBA","log_Total_count","power",79.1237897344205,NA,NA,1,67,-0.460459436208612,-0.132151858191872,"Decreasing",1
"PFDA","log_Total_count","linear",79.2168669271012,0.0101727279237919,-0.00505538395430349,0.416727580665984,67,-0.00430937722694117,-0.198347705624421,"Decreasing",0.773579933772963
"PFDOA","log_Total_count","linear",78.5599584575287,0.0198301713097378,0.00475063548373389,0.255688236246468,67,-0.0146953551355207,-0.23972532832575,"Decreasing",0.622305187668779
