"effect","component","term","estimate","std.error","statistic","p.value","p_term","best_shape_model","PFAS","WBC_var","outcome_type","n","FDR_p"
"fixed","cond","PFAS_scaled",-0.0679552403778149,0.0726386146824079,-0.935525005190837,0.350309844762315,0.349517803017821,"linear","PFBA","Lperc","proportion_beta",67,0.772241279607154
"fixed","cond","log_PFAS_scaled",-0.168943197390436,0.0951432783082201,-1.77567139155263,0.0804444564155229,0.0757870953862917,"log","PFBA","Hperc","proportion_beta",63,0.154185208129752
"fixed","cond","log_PFAS_scaled",-0.0643130961173341,0.0823429254357023,-0.78103972839237,0.433796630368277,0.434779128783795,"log","PFBA","Eperc","proportion_beta",67,0.554295694359465
"fixed","cond","PFAS_scaled",0.0603386326716441,0.0844091737631994,0.714835011191052,0.480272792197434,0.474710998405555,"linear","PFBA","Mperc","proportion_beta",67,0.783522133241133
"fixed","cond","log_PFAS_scaled",-0.232474542062646,0.0994803781158616,-2.33688840418249,0.0287310301159702,0.0194449874476854,"log","PFBA","Bperc","proportion_beta",67,0.326131868971674
"fixed","cond","PFAS_scaled",-0.063948169740059,0.0514798931268914,-1.24219701821126,0.218435830771779,0.214163879561584,"linear","PFBA","Total_count","total_count_nbinom2",67,0.386463392903917
"fixed","cond","PFAS_scaled",0.038631519511877,0.0845130388562022,0.457107211321652,0.649127892758403,0.647593987262774,"linear","PFDA","Lperc","proportion_beta",67,0.795059017882389
"fixed","cond","PFAS_scaled + PFAS_sq_scaled",0.737028552438136,0.306854715521416,2.40188113513509,0.0598441915493554,0.0163110075296868,"quadratic","PFDA","Hperc","proportion_beta",63,0.125128764148652
"fixed","cond","PFAS_scaled",-0.129570643494616,0.105214695726536,-1.23148807873173,0.218500359975007,0.218140372628911,"linear","PFDA","Eperc","proportion_beta",67,0.547853188703456
"fixed","cond","PFAS_scaled",-0.0614570329567361,0.0953362239458323,-0.644634645815787,0.510992695592043,0.519163977493197,"linear","PFDA","Mperc","proportion_beta",67,0.783522133241133
"fixed","cond","log_PFAS_scaled",0.15461660864018,0.110573365192561,1.39831693076283,0.17147968486936,0.162017915869382,"log","PFDA","Bperc","proportion_beta",67,0.336763722143581
"fixed","cond","PFAS_scaled",-0.0738900232466683,0.05735398276496,-1.288315469729,0.208397341496561,0.197636170244592,"linear","PFDA","Total_count","total_count_nbinom2",67,0.386463392903917
"fixed","cond","PFAS_scaled",-0.0125897794003956,0.0769045514031413,-0.163706557943479,0.869788614474651,0.869962154710337,"linear","PFDOA","Lperc","proportion_beta",67,0.869788614474651
"fixed","cond","log_PFAS_scaled",0.0850277250975504,0.0892582112954415,0.952603955014421,0.343830803353085,0.340790772587491,"log","PFDOA","Hperc","proportion_beta",63,0.395405423856048
"fixed","cond","log_PFAS_scaled",-0.0937238343837119,0.0959131867706403,-0.977173603957464,0.331097047727422,0.328483213522391,"log","PFDOA","Eperc","proportion_beta",67,0.554295694359465
"fixed","cond","PFAS_scaled",-0.0688025486373822,0.0849869066432231,-0.80956645387997,0.410982680047573,0.418189394832881,"linear","PFDOA","Mperc","proportion_beta",67,0.783522133241133
"fixed","cond","log_PFAS_scaled",-0.050218305945465,0.0968784523848722,-0.518364039775956,0.606040370215763,0.604204299501652,"log","PFDOA","Bperc","proportion_beta",67,0.663758500712503
"fixed","cond","PFAS_scaled",-0.0940402190593354,0.0502156086103524,-1.87272885188029,0.0680911776221732,0.0611058371123393,"linear","PFDOA","Total_count","total_count_nbinom2",67,0.214263093989098
"fixed","cond","PFAS_scaled + PFAS_sq_scaled",-0.429262790183879,0.231118376443181,-1.85732868493653,0.171843196057332,0.0632644057490407,"quadratic","PFDS","Lperc","proportion_beta",66,0.658732251553105
"fixed","cond","PFAS_scaled + PFAS_sq_scaled",0.30592593620205,0.261422416280087,1.17023605150326,0.280040998737453,0.241905988440902,"quadratic","PFDS","Hperc","proportion_beta",62,0.377987246786199
"fixed","cond","log_PFAS_scaled",-0.0293234813653723,0.0721258339144649,-0.406560032292277,0.684389964550541,0.684331157057684,"log","PFDS","Eperc","proportion_beta",66,0.715498599302838
"fixed","cond","log_PFAS_scaled",0.0177969932841353,0.0886096903034518,0.200847031777087,0.84070785836664,0.840818186133559,"log","PFDS","Mperc","proportion_beta",66,0.84070785836664
"fixed","cond","log_PFAS_scaled",-0.0311744160568301,0.0990529619653503,-0.314724723403377,0.753744429688844,0.752970670927973,"log","PFDS","Bperc","proportion_beta",66,0.753744429688844
"fixed","cond","PFAS_scaled",-0.0313423581723141,0.0579301200926098,-0.541037341579972,0.595562328065521,0.588481844788897,"linear","PFDS","Total_count","total_count_nbinom2",66,0.660239552646904
"fixed","cond","log_PFAS_scaled",-0.092512280348582,0.0838915323113492,-1.10276064579722,0.268244759382362,0.270131122492144,"log","PFHPA","Lperc","proportion_beta",67,0.772241279607154
